Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18339455233,"May 1, 2026, 11:19:28 PM",Evening Workout,Workout,"",2781,0,148.0,12,false,,,activities/19443301363.fit.gz,,,2781.0,2781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,148.0,132.0,,,446.0,,,12.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18311715929,"Apr 29, 2026, 8:29:15 PM",Afternoon Workout,Workout,"",601,0,142.0,2,false,,,activities/19415302022.fit.gz,,,601.0,601.0,0.0,0.0,0.0,0.0,0.0,171.0,173.0,0.0,0.0,,,,,142.0,127.0,,,91.0,,,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18293593712,"Apr 28, 2026, 2:49:37 PM",Morning Run,Run,"",3125,9.68,165.0,23,false,,On Cloudmonster 2 white & blue 🩵,activities/19397056215.fit.gz,,,3125.0,2856.0,9683.0,4.5,3.39,118.0,115.0,134.0,166.0,18.2,-0.1,,,86.0,82.0,165.0,135.0,,231.0,512.0,,,23.0,,,,,,,,,227.0,3115.0,,,0.0,,1.0,10024.5,1777384800.0,3.0,19.6,18.8,17.2,0.86,1014.3,3.3,6.7,255.0,0.0,1777373400.0,1777422705.0,0.375,,25669839.0,0.97,5.0,0.79,18185.8,2.0,,,,,,3.099,3360.5,,,,7850.0,0.0,,331.0,196.0,3.51,,,,,,,,,,,,""
18270679578,"Apr 26, 2026, 3:19:37 PM",Lunch Run,Run,"",3336,9.65,164.0,30,false,,On Cloudmonster 2 white & blue 🩵,activities/19373957789.fit.gz,,,3336.0,2817.0,9657.0,4.8,3.428,50.0,53.0,132.0,155.0,9.1,-0.1,,,91.0,82.0,164.0,143.0,,229.0,546.0,,,30.0,,,,,,,,,215.0,3338.0,,,0.0,,1.0,9823.8,1777215600.0,2.0,16.5,15.6,11.6,0.73,1016.3,3.1,4.8,68.0,0.0,1777200730.0,1777249776.0,0.375,,25669839.0,0.0,1.0,0.62,19523.9,4.0,,,,,,2.895,63.0,,,,7776.0,0.0,,317.0,185.0,3.487,,,,,,,,,,,,""
18240921602,"Apr 24, 2026, 3:24:38 PM",Lunch Hike,Hike,"",3444,3.34,110.0,4,false,,,activities/19343849294.fit.gz,,,3444.0,2763.0,3339.4,3.2,1.209,50.0,37.0,130.0,164.0,40.0,0.4,,,,,110.0,85.0,,,245.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,1777042800.0,2.0,23.5,23.0,13.6,0.54,1009.9,4.3,8.4,206.0,0.0,1777028101.0,1777076883.0,0.25,,,0.79,5.0,0.38,36729.0,4.0,,,,,,0.97,50.4,,,,,0.0,,,,,,,,,,,,,,,,""
18231458361,"Apr 23, 2026, 8:52:03 PM",Afternoon Run,Run,"",1997,6.45,172.0,34,false,,On Cloudmonster 2 white & blue 🩵,activities/19334299164.fit.gz,,,1997.0,1898.0,6452.0,4.9,3.399,52.0,49.0,132.0,154.0,15.4,0.0,,,88.0,82.0,172.0,152.0,,231.0,402.0,,,34.0,,,,,,,,,227.0,1998.0,,,0.0,,1.0,6617.4,1776974400.0,1.0,28.2,28.1,10.0,0.32,1012.7,4.7,7.6,216.0,0.0,1776941767.0,1776990413.0,0.125,,25669839.0,0.0,1.0,0.19,54163.9,5.0,,,,,,3.231,0.0,,,,5206.0,0.0,,212.0,196.0,3.487,,,,,,,,,,,,""
18205085094,"Apr 21, 2026, 10:04:44 PM",Evening Run,Run,"",3127,8.05,163.0,26,false,,On Cloudmonster 2 white & blue 🩵,activities/19307754516.fit.gz,,,3127.0,2371.0,8051.0,5.1,3.396,48.0,56.0,129.0,159.0,19.0,0.0,,,86.0,82.0,163.0,142.0,,225.0,456.0,,,26.0,,,,,,,,,211.0,2946.0,,,0.0,,1.0,8231.3,1776808800.0,3.0,23.5,20.1,8.8,0.39,1017.4,6.3,11.8,224.0,0.0,1776769131.0,1776817513.0,0.125,,25669839.0,0.0,1.0,0.92,52355.0,1.0,,,,,,2.575,544.8,,,,6482.0,0.0,,270.0,182.0,3.472,,,,,,,,,,,,""
18152837339,"Apr 18, 2026, 4:14:09 AM",Night Workout,Workout,"",2847,0,151.0,17,false,,,activities/19255019262.fit.gz,,,2847.0,2847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,151.0,139.0,,,466.0,,,17.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18128090544,"Apr 15, 2026, 2:52:22 PM",Morning Swim,Swim,"",2661,"1,509",142.0,7,false,,,activities/19230080597.fit.gz,,,2661.0,1775.0,1508.8,1.22,0.85,0.0,0.0,0.0,0.0,0.0,0.0,,,39.0,31.0,142.0,104.0,,,229.0,,28.0,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567,0.0,,,,,0.0,25.0,,,,,,0.0,0.0,,,,0.0,,,,""
18096935177,"Apr 13, 2026, 8:44:36 PM",Afternoon Run,Run,"",1899,6.44,161.0,15,false,,On Cloudmonster 2 white & blue 🩵,activities/19198716946.fit.gz,,,1899.0,1899.0,6444.0,4.0,3.393,75.0,75.0,164.0,187.0,10.0,0.0,,,87.0,82.0,161.0,139.0,,231.0,358.0,,,15.0,,,,,,,,,232.0,1900.0,,,0.0,,1.0,6642.4,1776110400.0,3.0,26.3,25.8,17.9,0.6,1018.2,4.1,8.9,204.0,0.0,1776078619.0,1776125862.0,0.875,,25669839.0,0.32,1.0,0.65,29487.0,4.0,,,,,,3.393,0.0,,,,5196.0,0.0,,211.0,200.0,3.498,,,,,,,,,,,,""
18083973706,"Apr 12, 2026, 5:55:56 PM",Afternoon Run,Run,"",3291,8.05,168.0,34,false,,On Cloudmonster 2 white & blue 🩵,activities/19185653782.fit.gz,,,3291.0,2347.0,8054.5,5.5,3.432,60.0,53.0,130.0,159.0,16.7,0.1,,,86.0,82.0,168.0,147.0,,229.0,474.0,,,34.0,,,,,,,,,212.0,3001.0,,,0.0,,1.0,8248.1,1776013200.0,3.0,25.4,23.8,14.2,0.5,1021.5,5.2,10.8,210.0,0.0,1775992288.0,1776039400.0,0.875,,25669839.0,0.0,1.0,0.69,40413.9,6.0,,,,,,2.447,543.0,,,,6414.0,0.0,,278.0,183.0,3.514,,,,,,,,,,,,""
18059002471,"Apr 10, 2026, 10:28:34 PM",Evening Workout,Workout,"",1849,0,154.0,18,false,,,activities/19160356531.fit.gz,,,1849.0,1849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,154.0,144.0,,,328.0,,,18.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18058700096,"Apr 10, 2026, 9:53:14 PM",Afternoon Run,Run,"",1883,5.64,156.0,10,false,,On Cloudmonster 2 white & blue 🩵,activities/19160053317.fit.gz,,,1883.0,1651.0,5644.0,5.2,3.419,30.0,29.0,145.0,159.0,15.4,0.0,,,88.0,82.0,156.0,136.0,,227.0,298.0,,,10.0,,,,,,,,,215.0,1885.0,,,0.0,,1.0,5737.6,1775854800.0,1.0,25.4,24.5,10.4,0.39,1022.7,5.1,8.5,257.0,0.0,1775819650.0,1775866472.0,0.75,,25669839.0,0.0,1.0,0.37,47547.6,3.0,,,,,,2.997,0.0,,,,4524.0,0.0,,179.0,185.0,3.475,,,,,,,,,,,,""
18046391512,"Apr 9, 2026, 7:41:32 PM",Afternoon Ride,Ride,"",5914,26.39,141.0,9,false,,🩵,activities/19147648763.fit.gz,,6.804,5914.0,5263.0,26396.7,10.0,5.016,224.0,218.0,130.2,164.4,24.0,0.0,,,,,141.0,88.0,,69.0,457.0,,,9.0,0.0,,,,,,,,,,,,0.0,,1.0,,1775761200.0,1.0,24.3,24.6,8.3,0.36,1024.7,3.9,6.4,230.0,0.0,1775733352.0,1775780031.0,0.625,17521074.0,,0.0,1.0,0.02,46153.8,6.0,,,,,,4.463,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18032694327,"Apr 8, 2026, 7:28:33 PM",Afternoon Run,Run,"",4024,10.47,163.0,34,false,,On Cloudmonster 2 white & blue 🩵,activities/19133836791.fit.gz,,,4024.0,3221.0,10472.9,4.6,3.251,93.0,90.0,132.0,161.0,33.3,0.1,,,85.0,81.0,163.0,142.0,,219.0,621.0,,,34.0,,,,,,,,,207.0,3820.0,,,0.0,,1.0,10780.2,1775674800.0,3.0,20.1,18.9,3.3,0.33,1024.8,2.1,3.3,157.0,0.0,1775647041.0,1775693575.0,0.625,,25669839.0,0.0,1.0,0.9,56175.3,4.0,,,,,,2.603,0.0,,,,8772.0,0.0,,337.0,178.0,3.347,,,,,,,,,,,,""
17992830656,"Apr 5, 2026, 9:53:14 PM",Afternoon Run,Run,"",2877,8.05,162.0,17,false,,On Cloudmonster 2 white & blue 🩵,activities/19093398092.fit.gz,,,2877.0,2402.0,8053.0,5.0,3.353,56.0,60.0,125.0,158.0,25.0,0.0,,,88.0,82.0,162.0,140.0,,226.0,445.0,,,17.0,,,,,,,,,217.0,2717.0,,,0.0,,1.0,8243.0,1775422800.0,1.0,14.1,11.8,2.7,0.46,1022.1,5.6,9.0,311.0,0.0,1775388112.0,1775434209.0,0.625,,25669839.0,0.0,1.0,0.09,38404.0,3.0,,,,,,2.799,489.5,,,,6652.0,0.0,,264.0,187.0,3.432,,,,,,,,,,,,""
17981882408,"Apr 5, 2026, 1:13:23 AM",Night Workout,Workout,"",1801,0,153.0,22,false,,,activities/19082308557.fit.gz,,,1801.0,1801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,153.0,147.0,,,336.0,,,22.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17981693085,"Apr 5, 2026, 12:37:38 AM",Evening Run,Run,"",1944,6.44,154.0,16,false,,On Cloudmonster 2 white & blue 🩵,activities/19082116256.fit.gz,,,1944.0,1898.0,6442.4,3.96,3.394,0.0,0.0,0.0,0.0,0.0,0.0,,,86.0,79.0,154.0,140.0,,,332.0,,,16.0,,,,,,,,,,,,,0.0,,1.0,6442.4,,,,,,,,,,,,,,,,25669839.0,,,,,,,,,,,3.314,0.0,,,,4864.0,0.0,,,,,,,,,,,,,,,,""
17943281242,"Apr 1, 2026, 9:26:15 PM",Afternoon Run,Run,"",2400,8.04,,,false,,On Cloudmonster 2 white & blue 🩵,,,,2400.0,2400.0,8046.7,,3.353,,,,,,0.0,,,,,,,,,628.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,25669839.0,,,,,,,,,,,3.353,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17903743222,"Mar 29, 2026, 3:17:26 PM",Lunch Run,Run,"",4387,12.88,166.0,39,false,,On Cloudmonster 2 white & blue 🩵,activities/19003536379.fit.gz,,,4387.0,3729.0,12880.0,4.9,3.454,119.0,109.0,139.0,168.0,20.0,0.0,,,87.0,82.0,166.0,141.0,,233.0,717.0,,,39.0,,,,,,,,,224.0,4326.0,,,0.0,,1.0,13288.4,1774796400.0,1.0,12.3,10.2,1.6,0.48,1028.4,4.5,11.5,197.0,0.0,1774783953.0,1774829014.0,0.375,,25669839.0,0.0,1.0,0.26,36332.4,4.0,,,,,,2.936,827.5,,,,10308.0,0.0,,447.0,193.0,3.564,,,,,,,,,,,,""
17894383332,"Mar 28, 2026, 11:00:44 PM",Evening Workout,Workout,"",1802,0,132.0,5,false,,,activities/18994035114.fit.gz,,,1802.0,1802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,132.0,114.0,,,232.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17893940355,"Mar 27, 2026, 11:43:32 PM",Evening Run,Run,"",1898,6.44,155.0,17,false,,On Cloudmonster 2 white & blue 🩵,activities/18993588339.fit.gz,,,1898.0,1876.0,6442.4,3.92,3.434,0.0,0.0,0.0,0.0,0.0,0.0,,,85.0,79.0,155.0,143.0,,,332.0,,,17.0,,,,,,,,,,,,,0.0,,1.0,6441.9,,,,,,,,,,,,,,,,25669839.0,,,,,,,,,,,3.394,0.0,,,,4968.0,0.0,,,,,,,,,,,,,,,,""
17893940448,"Mar 25, 2026, 5:41:12 PM",Afternoon Run,Run,"",489,1.61,156.0,6,false,,On Cloudmonster 2 white & blue 🩵,activities/18993588399.fit.gz,,,489.0,489.0,1614.1,4.0,3.301,5.0,3.0,162.0,167.0,8.3,0.2,,,84.0,82.0,156.0,144.0,,219.0,97.0,,,6.0,,,,,,,,,218.0,490.0,,,0.0,,1.0,1645.1,1774458000.0,2.0,19.9,18.0,8.3,0.47,1019.7,5.0,8.6,214.0,0.0,1774438718.0,1774483183.0,0.125,,25669839.0,0.0,1.0,0.43,43029.9,6.0,,,,,,3.301,61.0,,,,1342.0,0.0,,48.0,188.0,3.364,,,,,,,,,,,,""
17893940467,"Mar 25, 2026, 5:06:29 PM",Afternoon Run,Run,"",1965,7.24,173.0,36,false,,On Cloudmonster 2 white & blue 🩵,activities/18993588390.fit.gz,,,1965.0,1886.0,7247.0,5.9,3.843,36.0,37.0,158.0,163.0,17.4,0.1,,,94.0,84.0,173.0,154.0,,257.0,427.0,,,36.0,,,,,,,,,261.0,1967.0,,,0.0,,1.0,7379.6,1774458000.0,2.0,19.9,18.0,8.3,0.47,1019.7,5.0,8.6,214.0,0.0,1774438718.0,1774483183.0,0.125,,25669839.0,0.0,1.0,0.43,43029.9,6.0,,,,,,3.688,247.0,,,,5324.0,0.0,,276.0,225.0,3.913,,,,,,,,,,,,""
17893940366,"Mar 25, 2026, 4:28:01 PM",Lunch Run,Run,"",1291,4.03,151.0,5,false,,On Cloudmonster 2 white & blue 🩵,activities/18993588333.fit.gz,,,1291.0,1227.0,4037.0,4.1,3.29,38.0,44.0,136.0,165.0,40.0,0.0,,,89.0,83.0,151.0,128.0,,220.0,211.0,,,5.0,,,,,,,,,220.0,1293.0,,,0.0,,1.0,4174.6,1774454400.0,3.0,17.3,15.1,7.3,0.52,1020.4,3.8,8.9,207.0,0.0,1774438713.0,1774483178.0,0.125,,25669839.0,0.0,1.0,0.71,36891.0,4.0,,,,,,3.127,1129.0,,,,3410.0,0.0,,129.0,190.0,3.402,,,,,,,,,,,,""
17833715859,"Mar 23, 2026, 10:02:10 PM",Evening Run,Run,"",2597,8.05,158.0,15,false,,On Cloudmonster 2 white & blue 🩵,activities/18933130633.fit.gz,,,2597.0,2423.0,8053.2,4.7,3.324,65.0,59.0,137.0,166.0,16.7,0.0,,,86.0,81.0,158.0,138.0,,224.0,451.0,,,15.0,,,,,,,,,218.0,2599.0,,,0.0,,1.0,8258.4,1774303200.0,3.0,11.1,5.1,-0.7,0.44,1027.5,5.5,8.5,1.0,0.0,1774266098.0,1774310266.0,0.125,,25669839.0,0.56,5.0,0.89,38596.0,1.0,,,,,,3.101,158.5,,,,6622.0,0.0,,255.0,188.0,3.408,,,,,,,,,,,,""
17819356932,"Mar 22, 2026, 4:16:02 PM",Lunch Run,Run,"",3120,9.66,174.0,48,false,,On Cloudmonster 2 white & blue 🩵,activities/18918697285.fit.gz,,,3120.0,2599.0,9659.8,5.6,3.717,61.0,77.0,132.0,162.0,27.3,-0.1,,,89.0,83.0,174.0,151.0,,248.0,563.0,,,48.0,,,,,,,,,233.0,3119.0,,,0.0,,1.0,9835.2,1774195200.0,1.0,25.5,25.9,18.2,0.64,1007.5,4.8,11.4,216.0,0.0,1774179800.0,1774223820.0,0.125,,25669839.0,0.5,5.0,0.21,26307.9,5.0,,,,,,3.096,2317.0,,,,7252.0,0.0,,349.0,201.0,3.784,,,,,,,,,,,,""
17809437473,"Mar 21, 2026, 11:34:25 PM",Evening Run,Run,"",1645,5.63,155.0,13,false,,On Cloudmonster 2 white & blue 🩵,activities/18908648250.fit.gz,,,1645.0,1645.0,5637.7,3.88,3.427,0.0,0.0,0.0,0.0,0.0,0.0,,,84.0,79.0,155.0,140.0,,,283.0,,,13.0,,,,,,,,,,,,,0.0,,1.0,5637.7,,,,,,,,,,,,,,,,25669839.0,,,,,,,,,,,3.427,0.0,,,,4320.0,0.0,,,,,,,,,,,,,,,,""
17785601463,"Mar 19, 2026, 11:24:20 PM",Evening Run,Run,"",1067,3.22,161.0,13,false,,On Cloudmonster 2 white & blue 🩵,activities/18884586449.fit.gz,,,1067.0,966.0,3227.3,4.8,3.341,27.0,17.0,147.0,167.0,10.0,0.2,,,86.0,83.0,161.0,147.0,,225.0,198.0,,,13.0,,,,,,,,,215.0,1068.0,,,0.0,,1.0,3319.8,1773961200.0,1.0,20.5,20.5,6.5,0.4,1017.5,2.9,5.4,214.0,0.0,1773920857.0,1773964431.0,0.0,,25669839.0,0.0,1.0,0.01,50909.2,0.0,,,,,,3.025,0.0,,,,2670.0,0.0,,101.0,185.0,3.437,,,,,,,,,,,,""
17785422084,"Mar 19, 2026, 10:38:39 PM",Evening Run,Run,"",2631,6.76,170.0,26,false,,On Cloudmonster 2 white & blue 🩵,activities/18884406373.fit.gz,,,2631.0,2571.0,6759.0,6.2,2.629,153.0,153.0,139.0,159.0,30.8,0.0,,,97.0,83.0,170.0,145.0,,229.0,481.0,,,26.0,,,,,,,,,230.0,2632.0,,,0.0,,1.0,7169.5,1773957600.0,1.0,21.4,21.7,6.5,0.38,1017.4,3.7,5.6,226.0,0.0,1773920874.0,1773964448.0,0.0,,25669839.0,0.0,1.0,0.02,52561.7,1.0,,,,,,2.569,0.0,,,,5538.0,0.0,,287.0,198.0,2.789,,,,,,,,,,,,""
